,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
0,1966,1,NYK,Cazzie Russell,Michigan,12,817,22213,12377,3068,1838,0.46399999999999997,0.0,0.8270000000000001,22213,15.1,3.8,2.2,51.7,0.11199999999999999,-0.5,3.3
1,1966,2,DET,Dave Bing,Syracuse,12,901,32769,18327,3420,5397,0.441,0.0,0.775,32769,20.3,3.8,6.0,68.8,0.10099999999999999,-0.3,5.6
2,1966,3,SFW,Clyde Lee,Vanderbilt,10,742,19885,5733,7626,788,0.43200000000000005,0.0,0.614,19885,7.7,10.3,1.1,33.5,0.081,-2.3,-0.4
3,1966,4,STL,Lou Hudson,Minnesota,13,890,29794,17940,3926,2432,0.489,0.0,0.797,29794,20.2,4.4,2.7,81.0,0.131,0.4,6.8
4,1966,5,BAL,Jack Marin,Duke,11,849,24590,12541,4405,1813,0.465,0.0,0.843,24590,14.8,5.2,2.1,59.3,0.11599999999999999,-1.7,0.5
5,1966,6,CIN,Walt Wesley,Kansas,10,590,10306,5002,3243,385,0.434,0.0,0.63,10306,8.5,5.5,0.7,9.5,0.044000000000000004,-2.7,-0.1
6,1966,7,LAL,Jerry Chambers,Utah,4,239,3691,1931,739,182,0.442,0.0,0.747,3691,8.1,3.1,0.8,2.8,0.037000000000000005,0.0,0.0
7,1966,8,BOS,Jim Barnett,Oregon,11,732,17410,8536,2259,2232,0.435,0.0,0.797,17410,11.7,3.1,3.0,33.2,0.092,-1.1,1.1
8,1966,9,PHI,Matt Guokas,Saint Joseph's,10,735,16603,4285,1446,2174,0.489,0.0,0.727,16603,5.8,2.0,3.0,26.7,0.077,-1.8,0.2
9,1966,10,CHI,Dave Schellhase,Purdue,2,73,513,208,76,60,0.349,0.0,0.5670000000000001,513,2.8,1.0,0.8,-0.6,-0.061,0.0,0.0
12,1966,11,NYK,Henry Akin,Morehead State University,2,86,712,304,177,39,0.35100000000000003,0.0,0.6759999999999999,712,3.5,2.1,0.5,-1.2,-0.084,0.0,0.0
13,1966,12,DET,Dorie Murrey,Detroit Mercy,6,357,4486,1683,1555,226,0.425,0.0,0.679,4486,4.7,4.4,0.6,6.5,0.07,0.0,0.0
14,1966,13,SFW,Joe Ellis,San Francisco,8,524,10374,4623,2686,716,0.39799999999999996,0.0,0.727,10374,8.8,5.1,1.4,5.0,0.023,-4.0,-0.3
15,1966,14,STL,Dick Snyder,Davidson,13,964,25676,11755,2732,2767,0.488,0.0,0.8240000000000001,25676,12.2,2.8,2.9,58.3,0.109,0.1,5.4
16,1966,15,BAL,Neil Johnson,Creighton,4,202,2263,798,685,217,0.426,0.0,0.613,2263,4.0,3.4,1.1,2.0,0.042,0.0,0.0
17,1966,16,CIN,Jerry Lee Wells,Oklahoma City University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
